1,2,3,4,5,6,7,8,9,10,11,12,12.992,13.98,14.98,15.98,16.98,17.98,18.98,19.98,20.98,21.98,22.98,23.98
2,4,6,8,10,12,14,15.992,17.835,19.447,20.882,22.271,23.616,24.933,26.278,27.788,29.573,31.549,33.549,35.549,37.549,39.549,41.549,43.549
3,6,9,12,15,18,20.769,23.118,25.094,26.776,28.278,29.729,31.247,32.675,34.094,35.671,37.569,39.882,42.725,45.725,48.725,51.725,54.725,57.725
4,8,12,16,19.992,23.576,26.561,29.035,31.09,32.831,34.376,35.929,37.667,39.196,40.686,42.345,44.349,46.757,49.776,53.557,57.557,61.557,65.545,69.541
5,10,15,20,24.561,28.271,31.416,34,36.094,37.933,39.745,41.733,44.008,46.02,47.808,49.584,51.675,54.204,57.337,61.314,66.208,71.208,76.196,81.192
6,12,18,23.843,28.514,32.294,35.502,38.129,40.431,42.875,45.467,48.267,51.349,54.157,56.745,59.11,61.431,64.035,67.267,71.318,76.694,82.694,88.682,94.678
7,14,21,27.365,32.047,35.859,39.078,41.98,44.996,48.337,51.843,55.545,59.514,63.2,66.675,69.871,72.898,75.863,79.125,83.239,88.761,95.675,102.66,109.66
8,16,24,30.647,35.353,39.165,42.643,46.208,49.973,54.094,58.431,62.98,67.788,72.29,76.545,80.463,84.224,87.925,91.439,95.576,101.14,108.75,116.74,124.73
9,18,26.918,33.757,38.494,42.541,46.651,50.859,55.055,59.514,64.294,69.545,75.122,80.145,84.765,89.153,93.573,97.992,102.08,106.31,111.93,119.95,128.94,137.93
10,20,29.82,36.953,41.788,46.612,51.451,56.114,60.6,65.353,70.576,76.616,83.071,88.69,93.671,98.314,103.15,108.22,113.16,117.71,123.35,131.81,141.8,151.8
11,22,32.761,40.322,45.451,51.184,56.902,62.239,67.212,72.49,78.459,85.439,92.851,99.259,104.83,109.94,115.4,121.26,127.15,132.21,138.01,147.21,158.2,169.19
12,24,35.737,43.925,49.604,56.212,62.89,69.157,74.976,81.11,87.98,95.941,104.31,111.6,118.03,123.98,130.35,137.18,144,149.68,156.06,166.24,178.23,190.22
13,26,38.737,47.643,54.067,61.525,69.086,76.267,82.996,89.965,97.58,106.38,115.58,123.63,130.89,137.76,145.02,152.71,160.35,166.76,173.99,185.16,198.15,211.15
14,28,41.714,50.859,57.627,65.718,74.141,82.184,89.796,97.643,106.05,115.56,125.48,134.29,142.44,150.19,158.35,166.86,175.24,182.32,190.42,202.6,216.59,230.58
15,30,44.278,53.424,60.525,69.255,78.431,87.298,95.706,104.32,113.44,123.6,134.17,143.63,152.5,161.08,170.11,179.46,188.61,196.46,205.45,218.63,233.62,248.62
16,31.898,46.357,55.722,63.114,72.443,82.173,91.776,100.87,110.05,119.65,130.37,141.52,151.49,160.95,170.25,180.1,190.31,200.29,209.01,218.95,233.13,249.11,265.11
17,33.612,48.153,57.616,65.027,74.373,84.192,94.396,104.18,114.04,124.34,135.71,147.48,158.12,168.31,178.36,188.95,199.72,210.34,219.85,230.77,245.95,262.94,279.93
18,35.149,49.702,59.169,66.58,75.957,85.976,96.718,107.11,117.64,128.58,140.57,152.98,164.3,175.18,185.95,197.06,207.87,218.49,228.03,239.24,255.33,273.32,291.31
18.412,35.584,50.141,59.616,67.031,76.51,86.929,98.322,109.28,120.36,131.89,144.41,157.35,169.23,180.75,192.16,203.87,215.16,225.97,235.51,246.73,263.16,282.15,301.15
18.675,35.847,50.412,59.973,67.541,77.243,88.188,100.27,111.89,123.56,135.62,148.6,162.01,174.47,186.63,198.68,211.05,223.07,234.52,244.37,255.6,272.05,291.54,311.48
18.945,36.118,50.694,60.533,68.565,78.871,90.533,103.35,115.67,128.01,140.64,154.16,168.13,181.25,194.08,206.81,219.92,232.74,244.85,255.03,266.28,282.73,302.22,322.47
19.212,36.384,50.961,61.322,70.078,81.063,93.486,107.12,120.25,133.38,146.76,160.97,175.65,189.52,203.14,216.66,230.58,244.11,256.78,267.25,278.5,294.95,314.44,334.92
19.475,36.647,51.224,62.024,71.78,83.655,96.831,111.2,125.15,139.13,153.38,168.48,184.02,198.73,213.15,227.44,242.07,256.38,269.93,280.64,291.89,308.33,327.83,348.53
19.898,37.263,52.031,63.318,74.075,86.949,101.11,116.4,131.18,145.95,160.98,176.86,193.18,208.67,223.92,239.09,254.7,270,284.45,295.42,306.87,323.54,343.23,364.33
