0.89804,1.7843,2.7255,3.6627,4.6118,5.5882,6.5686,7.5529,8.5373,9.5216,10.506,11.49,12.475,13.467,14.467,15.467,16.459,17.376,18.282,18.992,19.427,19.961,20.714,21.71
1.7333,3.4471,5.3176,7.149,8.9765,10.914,12.867,14.827,16.792,18.765,20.737,22.714,24.694,26.682,28.682,30.682,32.569,34.122,35.741,36.937,37.741,38.729,40.271,42.267
2.4157,4.8314,7.5176,10.118,12.737,15.62,18.549,21.482,24.427,27.369,30.337,33.31,36.286,39.271,42.267,45.267,47.961,50.098,52.345,53.941,55.122,56.522,58.957,61.953
3.0275,5.9804,9.4039,12.667,15.965,19.808,23.706,27.627,31.502,35.141,39.059,43.031,47.008,50.988,54.98,58.98,62.557,65.2,67.871,69.941,71.49,73.412,76.816,80.812
3.6118,7.0588,11.078,14.882,18.902,23.545,28.243,33.125,37.722,41.827,46.498,51.459,56.416,61.396,66.384,71.38,75.929,79.09,82.055,84.49,86.38,88.925,93.31,98.282
4.0196,7.9216,12.396,16.682,21.329,26.514,31.867,37.557,42.631,47.114,52.325,57.961,63.62,69.537,75.525,81.522,86.992,90.624,93.882,96.694,98.992,102.28,107.37,112.95
4.3137,8.5804,13.447,18.157,23.282,28.886,34.765,40.941,46.388,51.235,56.871,62.925,69.063,75.604,82.424,89.38,95.616,99.565,103.14,106.29,108.95,112.73,118.25,124.31
4.5843,9.1686,14.424,19.514,25.055,31.063,37.353,43.835,49.604,54.788,60.8,67.255,73.78,80.725,88.051,95.741,102.59,106.82,110.69,114.16,117.13,121.25,127.15,133.68
4.8039,9.6863,15.306,20.773,26.678,33.086,39.698,46.38,52.396,57.855,64.173,70.957,77.878,85.345,93.075,101.23,108.45,112.96,117.13,120.86,124.1,128.5,134.69,141.59
5.051,10.216,16.137,21.925,28.235,35.024,42.016,48.98,55.165,60.808,67.353,74.396,81.647,89.596,97.671,106.22,113.77,118.58,122.98,126.92,130.49,135.23,141.74,148.99
5.302,10.761,17.024,23.122,29.824,36.945,44.29,51.627,57.996,63.8,70.565,77.82,85.337,93.702,102.08,111.05,118.94,124.05,128.65,132.75,136.65,141.67,148.41,156.01
5.4941,11.188,17.784,24.243,31.329,38.788,46.498,54.118,60.643,66.643,73.663,81.18,89.039,97.827,106.51,115.85,124.07,129.45,134.25,138.59,142.79,148.07,155.09,163.06
5.6431,11.549,18.4,25.133,32.498,40.224,48.243,56.149,62.835,69.055,76.357,84.208,92.459,101.74,110.92,120.63,129.13,134.73,139.75,144.38,148.89,154.48,161.85,170.22
5.7922,11.953,19.075,26.09,33.737,41.737,50.02,58.251,65.286,71.816,79.478,87.675,96.278,106.17,115.86,125.95,134.7,140.49,145.73,150.6,155.37,161.22,168.9,177.63
5.949,12.329,19.733,27.063,35.004,43.251,51.784,60.376,67.871,74.792,82.863,91.439,100.43,110.91,121.11,131.67,140.75,146.75,152.15,157.18,162.18,168.25,176.2,185.25
6.1529,12.761,20.51,28.18,36.443,45.047,53.98,63.012,70.976,78.357,86.898,95.988,105.65,116.89,127.73,138.84,148.47,154.77,160.37,165.55,170.71,177.02,185.22,194.67
6.5059,13.435,21.573,29.694,38.404,47.502,57.008,66.58,75.114,83.063,92.153,101.83,112.24,124.13,135.5,147.13,157.21,163.81,169.66,175.07,180.46,187.06,195.66,205.54
6.9294,14.278,22.859,31.478,40.71,50.353,60.412,70.459,79.549,88.129,97.843,108.28,119.42,131.85,143.75,155.89,166.43,173.31,179.47,185.11,190.74,197.69,206.68,216.93
7.6157,15.502,24.671,33.875,43.725,53.992,64.616,75.255,84.988,94.176,104.65,115.94,127.72,140.65,153.05,165.67,176.62,183.84,190.31,196.29,202.23,209.47,218.74,229.32
8.2784,16.8,26.608,36.467,47.024,57.925,69.11,80.329,90.612,100.56,111.89,123.9,136.22,149.67,162.56,175.61,186.91,194.43,201.19,207.51,213.76,221.24,230.75,241.64
8.8706,17.957,28.357,38.808,49.941,61.404,73.153,84.871,95.867,106.68,118.8,131.36,144.2,158.15,171.43,184.84,196.46,204.26,211.25,217.82,224.36,232.09,241.83,253
9.4431,19.098,30.086,41.09,52.765,64.765,77.039,89.373,101.22,112.86,125.71,138.81,152.15,166.59,180.29,194.07,206.01,214.09,221.28,228.04,234.87,242.85,252.88,264.33
10.094,20.459,32.145,43.831,56.224,68.875,81.812,94.925,107.62,120.05,133.43,147.02,160.88,175.82,189.95,204.09,216.38,224.73,232.18,239.21,246.31,254.61,264.96,276.73
10.82,21.918,34.369,46.827,60.031,73.522,87.302,101.23,114.82,127.93,141.8,155.91,170.31,185.75,200.33,214.88,227.56,236.28,244.05,251.48,259.01,267.76,278.49,290.63
